score,weight1,weight2,weight3,weight4,weight5,weight6,population
2028, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
3517, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
4263, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
1050, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
5583, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
9211, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
2467, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
4684, -0.457391,-0.839880,0.077777,0.890312,0.751073,0.101645, 14
7253, -1.518622,-0.949764,0.077777,0.890312,-0.577984,0.101645, 14
4337, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
2996, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
3714, -0.457391,-0.949764,0.155516,0.890312,0.751073,0.101645, 14
2204, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
5138, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
1071, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 14
4560, -1.518622,-0.949764,0.077777,-0.903751,0.751073,0.101645, 14
6089, -1.518622,-0.949764,0.930285,-0.903751,0.751073,0.101645, 15
1763, -1.518622,-0.949764,0.077777,0.890312,-0.577984,0.101645, 15
3635, -1.518622,-0.949764,-1.972049,0.890312,0.751073,0.101645, 15
1962, 1.018476,-0.949764,0.077777,0.890312,0.751073,0.101645, 15
5845, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 15
4557, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 15
12085, -0.563126,-0.949764,0.077777,1.878988,0.751073,0.101645, 15
11304, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 15
3675, -1.518622,-0.949764,0.930285,1.523146,0.751073,0.101645, 15
10000, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 15
4745, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 15
14049, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 15
2984, -1.518622,-0.949764,0.077777,-0.903751,0.751073,0.101645, 15
3101, -0.457391,-0.839880,0.077777,0.890312,0.751073,0.101645, 15
11952, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 15
3486, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 15
6363, -1.518622,-0.949764,0.077777,0.890312,-0.577984,0.101645, 15
4383, -1.518622,-0.949764,0.930285,0.890312,0.751073,0.101645, 15
1472, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 15
7262, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 15
5065, -1.518622,-0.949764,0.077777,1.878988,0.751073,0.101645, 16
3685, -0.457391,-0.949764,0.077777,0.890312,-0.577984,0.101645, 16
1323, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 16
10714, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 16
1035, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 16
10927, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 16
3942, -1.518622,-0.949764,0.077777,0.377480,0.751073,0.101645, 16
2492, -1.518622,-0.949764,0.930285,-0.903751,0.751073,0.101645, 16
6538, -1.518622,-0.949764,0.077777,-0.903751,0.751073,0.101645, 16
2949, -1.518622,-0.949764,0.077777,-0.903751,0.751073,0.101645, 16
3308, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 16
3749, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 16
19538, -1.518622,-0.949764,0.930285,-0.903751,0.751073,0.101645, 16
5783, -1.518622,-0.949764,0.077777,0.890312,-0.577984,0.101645, 16
8032, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 16
20585, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 16
3104, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 16
9421, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 16
5658, -0.563126,-0.949764,0.077777,1.878988,0.751073,0.101645, 16
5453, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 16
1961, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
1519, -0.563126,-0.949764,0.077777,-0.903751,0.751073,0.101645, 17
586, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
5738, -0.563126,-0.949764,0.930285,1.225357,0.751073,0.101645, 17
5552, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
6262, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
1571, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
3393, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
9716, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
5255, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
6838, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
18752, -0.563126,-0.949764,0.077777,1.878988,0.751073,0.101645, 17
7096, -1.518622,-0.949764,0.077777,0.890312,-0.577984,0.101645, 17
9732, -1.518622,-0.949764,0.077777,-0.903751,0.751073,0.101645, 17
562, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
11371, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
8083, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
806, -0.457391,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
13394, -1.518622,-0.949764,0.930285,-0.903751,0.751073,0.101645, 17
4072, -1.518622,-0.949764,0.077777,0.890312,0.751073,0.101645, 17
2673, -0.563126,-0.949764,0.077777,1.878988,0.751073,0.101645, 18
4856, -1.518622,-0.949764,0.930285,-0.903751,0.751073,0.101645, 18
